TripTime,StartStation,EndStation
30.14,Jefferson Dr & 14th St SW,Eastern Market / 7th & North Carolina Ave SE
30.29,Jefferson Dr & 14th St SW,Eastern Market / 7th & North Carolina Ave SE
31.52,Jefferson Dr & 14th St SW,Eastern Market / 7th & North Carolina Ave SE
12.04,Jefferson Dr & 14th St SW,Lincoln Memorial
66.42,Lincoln Memorial,17th & G St NW
66.21,Lincoln Memorial,17th & G St NW
12.63,Jefferson Dr & 14th St SW,Lincoln Memorial
25.13,Jefferson Dr & 14th St SW,19th & E Street NW
16.83,Jefferson Dr & 14th St SW,10th & E St NW
37.34,Jefferson Dr & 14th St SW,Lincoln Memorial
37.59,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
37.72,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
19.7,Lincoln Memorial,4th & E St SW
24.65,Jefferson Dr & 14th St SW,8th & F St NE
24.4,Jefferson Dr & 14th St SW,8th & F St NE
45.44,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
46.24,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
22.49,Jefferson Dr & 14th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
19.82,Lincoln Memorial,18th & R St NW
28.29,Jefferson Dr & 14th St SW,Lynn & 19th St North
32.26,Lincoln Memorial,Hains Point/Buckeye & Ohio Dr SW
27.74,Lincoln Memorial,4th St & Madison Dr NW
27.24,Lincoln Memorial,Hains Point/Buckeye & Ohio Dr SW
23.1,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
15.23,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
15.64,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
19.1,Lincoln Memorial,N Lynn St & Fairfax Dr
18.67,Lincoln Memorial,N Lynn St & Fairfax Dr
18.66,Lincoln Memorial,N Lynn St & Fairfax Dr
19.59,Lincoln Memorial,N Lynn St & Fairfax Dr
13.59,Jefferson Dr & 14th St SW,New York Ave & 15th St NW
30.9,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
31.27,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
